loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,desc,url,member_id,policy_code,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,random_field_1,random_field_2,random_field_3
25696.28,24964.13,23474.05, 36 months,17.07%,917.08,A,B5,Retail manager,6 years,MORTGAGE,93324.66,Verified,Feb-2025,Current,educational,Dancer,61035,IA,21.02,Dec-2018,17,2,8554,59.5,41,Individual,7.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=d873383e-eded-4195-b86c-fedeb456a5c2,b0950e3e-ac85-49a2-a6de-1a47bd654fa1,1,w,41.49,9536.74,8504.32,30539.58,10714.03,469.37,53.3,256.88,0.83,,555.6,Dec-2025,,,10.0,0,,61176.0,2.0,1.0,,12.0,,24471.0,,,0.0,5141.0,9.4,38417.0,,,3.0,19.0,15522.0,16485.0,,,,291.0,180.0,50.0,19.0,91.0,47.0,7.0,,,2.0,12.0,,,,16.0,,16.0,,,,,9.0,64.3,96.0,,177681.0,85071.0,23623.0,11031.0,N,N,,,
4255.16,4074.13,3927.75, 60 months,14.08%,99.2,B,B1,Merchant navy officer,5 years,OTHER,51207.43,Not Verified,Oct-2023,Current,renewable_energy,Licensed conveyancer,07357,VT,11.69,Apr-2007,11,2,49963,94.8,39,Individual,9.0,,Use direction imagine amount skin able. Themselves popular board professor individual trial. Yourself beyond put business.,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14508fec-f443-478c-8b9c-35a0a6db9be1,648de5f5-497e-472b-8ea1-75edd339f68a,1,w,1354.82,1988.55,1659.2,3186.92,1182.12,1067.45,47.52,83.65,26.12,Mar-2025,108.01,,Nov-2024,1.0,,2,7229.0,10944.0,3.0,0.0,3.0,1.0,,40692.0,,4.0,13.0,12590.0,82.0,53004.0,,19.0,,,48239.0,14323.0,,,,197.0,124.0,,3.0,82.0,,4.0,,1.0,16.0,,,2.0,,35.0,49.0,10.0,31.0,,,,5.0,98.4,,,102513.0,84237.0,62049.0,,N,N,,,
33258.14,32756.33,29769.31, 36 months,16.61%,1179.24,D,A5,Agricultural engineer,5 years,MORTGAGE,30161.56,Not Verified,Sep-2024,Charged Off,major_purchase,,74501,TN,19.2,Mar-2009,5,1,36921,14.8,10,Joint App,7.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8dc06aab-63f4-4ede-8f76-cdb1b560f319,99af45d1-f145-483f-8606-8a9faeaea08c,1,w,15949.44,13479.0,7333.22,25084.91,14244.64,2555.58,54.13,846.45,69.26,Jul-2025,1494.27,,,,,0,7297.0,,,2.0,,4.0,17.0,,,,6.0,3476.0,4.4,22169.0,3.0,2.0,7.0,,10207.0,,50.9,0.0,,244.0,,,,,86.0,12.0,,,1.0,,,30.0,8.0,20.0,,26.0,29.0,,,,0.0,57.1,64.8,,94651.0,15.0,88215.0,16160.0,N,N,,,
25207.0,24611.77,24047.53, 36 months,14.81%,871.41,B,A2,"Merchandiser, retail",4 years,MORTGAGE,20000.0,Verified,Mar-2024,Fully Paid,car,,07857,FM,18.28,Dec-2015,8,1,40451,1.7,12,Individual,7.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3cf2031b-e990-4a00-be8e-723a3b635814,7d876be7-9571-4828-a7ce-b7df33629093,1,w,5489.23,1532.67,11571.31,28726.28,18056.02,7044.05,98.39,845.64,93.57,,998.1,Jan-2026,Nov-2024,,12.0,1,,6735.0,1.0,,6.0,6.0,2.0,28124.0,,,14.0,,11.0,81312.0,4.0,18.0,2.0,4.0,35417.0,17092.0,50.3,,,39.0,,4.0,13.0,13.0,,18.0,,,,23.0,13.0,17.0,4.0,6.0,,9.0,38.0,1.0,,,10.0,67.5,82.0,,76454.0,75412.0,64538.0,75748.0,N,N,,,
8880.61,8446.77,8055.16, 60 months,8.02%,180.14,D,B4,Civil Service administrator,1 year,MORTGAGE,20000.0,Not Verified,Aug-2024,In Grace Period,moving,,25765,CT,3.45,Aug-2005,24,1,34322,47.3,5,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7e4f7c13-a0ee-495c-bb78-3a83261a1ec9,67131b67-6079-4a28-a22f-b01633d1c48d,1,w,493.17,1394.75,469.53,5106.33,1979.71,275.49,50.86,160.05,66.99,May-2025,181.58,Mar-2026,Apr-2025,0.0,,2,,26024.0,,1.0,,0.0,50.0,49659.0,,0.0,4.0,11904.0,10.8,,2.0,7.0,15.0,5.0,,,,,,87.0,114.0,,40.0,42.0,,11.0,57.0,,11.0,29.0,21.0,33.0,,18.0,13.0,4.0,,,,,,67.9,81.3,,7413.0,49385.0,74913.0,61620.0,N,N,,,
10508.03,10156.35,9869.68, 36 months,13.01%,354.1,C,A4,Lobbyist,3 years,OTHER,32388.25,Source Verified,Aug-2023,Charged Off,home_improvement,,77560,VI,15.4,Dec-2016,23,1,46677,15.5,11,Individual,,,"Stop financial everyone security fact. Answer cell economic most attorney development necessary their.
Until law only push. Whom year learn pay senior above.",https://www.lendingclub.com/browse/loanDetail.action?loan_id=48c6c150-e7b5-41c5-a720-dfe2d851c7d6,c0831cf6-9607-4876-97a1-3c0db181deac,1,f,5129.51,4673.97,8412.96,3058.56,9425.48,317.78,3.9,364.69,74.65,,151.29,,Dec-2024,0.0,,1,,,0.0,0.0,7.0,0.0,11.0,30962.0,87.8,9.0,,,,47972.0,3.0,,5.0,0.0,13408.0,46918.0,,,,286.0,178.0,42.0,1.0,89.0,,12.0,50.0,3.0,8.0,,16.0,10.0,24.0,29.0,46.0,24.0,31.0,,,1.0,,89.8,50.3,,,10509.0,54500.0,74269.0,N,N,,,
23429.4,23415.02,21398.99, 36 months,17.95%,846.39,C,A5,"Psychotherapist, dance movement",3 years,MORTGAGE,32793.79,Verified,Aug-2024,Fully Paid,vacation,Holiday representative,01179,HI,6.96,Dec-2014,10,2,13949,22.0,38,Joint App,,0.0,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=29086176-6d6a-4de5-97ed-3ac110741c67,e15ed75b-78fc-429f-9657-f0f0e2329bb4,1,f,2188.77,7032.36,19831.87,2414.56,16980.28,6810.99,73.49,276.1,50.97,Jan-2025,28.04,May-2026,,,,2,,94971.0,,,,10.0,21.0,27782.0,,4.0,,10342.0,54.7,20264.0,9.0,4.0,10.0,6.0,2382.0,,92.8,,,260.0,,,55.0,57.0,,,,,,6.0,0.0,4.0,21.0,39.0,19.0,,23.0,,,,14.0,83.4,85.1,,104579.0,,64953.0,73971.0,N,N,,,2023-05-10
13557.56,13211.49,12218.96, 36 months,9.62%,435.02,C,B5,Operational researcher,,OWN,42491.8,Source Verified,May-2024,Current,home_improvement,Occupational hygienist,83238,ME,22.17,Jun-2007,15,1,45396,,16,Individual,9.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8a3ac397-c0b5-45a3-88d1-41ade16fea56,ee2991a2-c532-4e01-bbc2-e291e5edba30,1,f,6433.63,480.6,14333.23,11865.81,2324.29,2385.49,44.64,404.87,93.33,Aug-2024,156.4,Oct-2025,,,2.0,0,7967.0,22757.0,4.0,4.0,7.0,14.0,22.0,24196.0,52.3,9.0,,13492.0,26.0,33004.0,2.0,7.0,3.0,5.0,29831.0,23876.0,25.2,1.0,,,175.0,,14.0,,,,,,16.0,2.0,11.0,2.0,27.0,,,27.0,4.0,,,4.0,3.0,51.7,47.3,0.0,11976.0,18844.0,70371.0,,N,N,,,
27213.98,27072.83,26215.73, 36 months,6.75%,837.17,C,B1,Media buyer,5 years,OTHER,223804.15,Not Verified,Oct-2024,Current,car,,34919,OH,17.75,Feb-2013,19,0,19785,40.1,25,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8cac9f5b-ecd6-40ed-922f-fa135f8d91c6,0b369786-c331-42fd-a201-1a1725317b22,1,w,13052.32,9294.6,29189.0,20802.43,26146.18,3745.48,71.21,742.23,40.87,Mar-2025,940.86,Mar-2026,,,,2,,52441.0,2.0,4.0,8.0,5.0,10.0,42776.0,13.6,,5.0,26.0,,43821.0,9.0,,10.0,13.0,29262.0,,41.6,,3370.0,183.0,262.0,37.0,14.0,52.0,22.0,2.0,101.0,,5.0,24.0,,21.0,19.0,38.0,17.0,18.0,3.0,,2.0,,,55.9,0.2,,77481.0,,,8259.0,N,N,,,
24655.51,24064.85,22186.88, 36 months,17.01%,879.12,D,B2,Cytogeneticist,8 years,RENT,65859.01,Verified,Sep-2023,Charged Off,moving,Clinical cytogeneticist,66910,GU,3.39,Aug-2018,16,1,24530,59.6,37,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9037718e-4d40-42cf-be44-974c05ec866b,fea110bc-ad0a-41bf-a2e0-27d6d78f3ee0,1,w,7413.95,6554.42,5385.25,10838.22,7585.88,976.27,96.09,507.92,46.73,Oct-2024,656.65,,Oct-2024,,,1,,50054.0,4.0,2.0,5.0,11.0,27.0,10207.0,79.0,0.0,2.0,15052.0,80.5,27717.0,7.0,17.0,9.0,12.0,25315.0,27767.0,,,,53.0,266.0,,,91.0,51.0,19.0,75.0,0.0,15.0,3.0,2.0,,12.0,,32.0,,48.0,,,,15.0,61.0,99.8,,135367.0,89377.0,97684.0,73231.0,N,Y,General describe think civil into find.,,
