loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,desc,url,member_id,policy_code,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,random_field_1,random_field_2,random_field_3
18752.19,18070.1,16271.35, 36 months,9.64%,601.9,G,A2,,2 years,OTHER,20000.0,Not Verified,Jun-2024,Current,debt_consolidation,LOCATION MANAGER,,MI,13.06,Nov-2008,16,2,21838,43.7,16,Individual,5.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3d26e48d-22dd-4e9f-8dff-decd642c2c09,1beb374b-6268-4de7-bba8-5465349bca3e,1,,2615.78,3977.08,8356.84,1733.71,18548.84,2590.71,19.75,469.25,53.34,Mar-2025,414.14,,Jun-2025,,,1,,,,,8.0,9.0,6.0,32403.0,6.2,,9.0,,9.9,60024.0,,6.0,6.0,17.0,19863.0,22927.0,35.0,,,,125.0,3.0,5.0,14.0,107.0,20.0,110.0,,17.0,9.0,12.0,20.0,23.0,21.0,,3.0,,,,1.0,17.0,99.3,,,68577.0,,48912.0,48011.0,,2023-13-45,,,
14698.27,14134.37,12845.15, 60 months,11.35%,322.12,B,B3,DIAGNOSTIC RADIOGRAPHER,,,43114.17,,Mar-2025,Fully Paid,small_business,,68024,,15.04,May-2010,15,0,35881,1.7,20,Individual,7.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7b01aa7f-a662-4913-86c1-f78a576a148f,2f263900-fa2e-49d7-a2e5-64c33c3299d5,1,,993.94,6034.77,10690.89,9639.71,12294.56,1169.01,1.41,948.73,26.28,Feb-2025,629.44,Jan-2026,,,,0,1469.0,,2.0,1.0,5.0,14.0,30.0,20132.0,,1.0,7.0,1615.0,,68368.0,,15.0,,14.0,,,24.1,,,83.0,24.0,10.0,59.0,38.0,,21.0,,,15.0,23.0,2.0,17.0,28.0,,,19.0,38.0,,0.0,,3.0,81.1,8.4,,188296.0,53984.0,58132.0,40723.0,N,N,,,2020-08-04
22936.62,22130.28,21390.14,,12.35%,514.23,D,B2,Aeronautical engineer,3 years,MORTGAGE,174034.41,Not Verified,Jun-2024,Late (31-120 days),credit_card,,,2023-13-45,10.46,Dec-2005,3,1,30268,98.9,47,,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=f98956c5-8d47-443c-b838-c073f7d7eea9,,1,w,2249.39,5370.89,23720.91,13873.12,15676.1,4045.56,84.24,284.56,57.55,Jul-2024,709.86,,Mar-2025,,,2,,21200.0,0.0,0.0,3.0,9.0,56.0,42520.0,57.9,7.0,9.0,16543.0,20.4,89527.0,0.0,,11.0,17.0,16151.0,43835.0,34.8,,,34.0,196.0,53.0,20.0,114.0,,15.0,17.0,,12.0,21.0,,,13.0,9.0,29.0,10.0,24.0,,,,17.0,91.9,76.1,,82158.0,29715.0,,51581.0,N,N,2023-13-45,,
20633.22,19867.85,18841.43, 60 months,14.72%,487.88,D,,"Programmer, systems",5 years,OWN,53785.39,Source Verified,Nov-2024,Charged Off,car,"Therapist, occupational",18080,MA,14.2,Feb-2013,13,2,2116,47.8,39,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=ae100265-ff8a-4729-8c87-b5dd6e882379,61317a77-91c6-4b98-bac1-f6f080417f5f,1,f,3132.21,7764.94,21064.14,6462.4,20575.44,3894.92,88.13,474.21,71.08,,921.33,Nov-2025,,,,0,6857.0,14489.0,4.0,,0.0,14.0,27.0,15207.0,,7.0,13.0,5067.0,97.0,53922.0,5.0,,,5.0,34810.0,35455.0,8.2,,,293.0,63.0,51.0,4.0,,,16.0,,,17.0,14.0,26.0,,25.0,6.0,20.0,19.0,11.0,,,4.0,11.0,65.4,15.7,,,89896.0,,84098.0,N,N,,,
11124.17,10764.01,10707.61, 60 months,10.58%,239.52,C,A3,,4 years,OWN,174798.53,Verified,Nov-2024,,renewable_energy,"Surveyor, quantity",02645,OR,18.9,May-2015,10,1,37144,48.3,13,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=0026abb0-7252-468b-b05b-dea1b0819083,2f4e05cf-ca2e-431d-9317-b903cb53b1f9,1,w,18.81,3763.98,5615.79,2347.42,1131.02,1141.22,60.71,258.73,1.28,2023-13-45,102.45,Oct-2025,May-2025,1.0,,0,,63677.0,4.0,2.0,2.0,3.0,,43550.0,,5.0,14.0,5488.0,,,3.0,19.0,9.0,4.0,20311.0,,0.5,,,20.0,121.0,35.0,7.0,30.0,,8.0,,1.0,17.0,14.0,17.0,,19.0,36.0,34.0,6.0,35.0,,,,1.0,67.9,28.6,0.0,,59109.0,22243.0,99613.0,N,N,,,
36413.93,36043.41,35726.74, 36 months,15.41%,1269.71,C,,,< 1 year,OTHER,20000.0,Verified,Mar-2025,Late (31-120 days),,Oncologist,24242,,12.37,Apr-2015,5,0,12314,41.7,6,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=f1dd7386-db93-4ec8-b9cc-bc6e60a56564,69cc3fc9-0a4b-44c4-bd10-99eb2ba08bc3,1,,8233.63,13438.88,11725.81,18197.07,2534.34,9413.84,78.28,370.14,26.69,,1458.7,Jan-2026,Feb-2025,,41.0,2,7393.0,40219.0,0.0,0.0,6.0,,43.0,9551.0,,6.0,11.0,19302.0,,11270.0,9.0,2.0,14.0,5.0,38845.0,30307.0,75.9,,,115.0,38.0,47.0,2.0,29.0,,6.0,,,9.0,6.0,22.0,0.0,,3.0,,8.0,18.0,,,,8.0,96.9,7.2,,130651.0,78272.0,50929.0,38837.0,N,N,,,
20952.28,20806.26,18895.94, 60 months,11.32%,458.91,,A4,Oncologist,< 1 year,OWN,29730.78,Source Verified,Jul-2025,Fully Paid,other,Glass blower/designer,69386,2023-13-45,10.59,Oct-2005,9,2,13436,35.1,48,Individual,1.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=32d464b0-70d7-4255-94e4-192ed2dc59b0,1334649d-121a-4efb-a463-bb27df07f125,1,f,2274.11,1458.89,23455.83,17977.36,2294.16,4282.58,42.93,972.78,17.86,Sep-2024,105.74,Oct-2025,Nov-2024,,,0,,83516.0,1.0,2.0,,12.0,36.0,39908.0,28.5,8.0,0.0,1229.0,37.9,25064.0,,,17.0,19.0,,14815.0,,,,112.0,63.0,15.0,,101.0,,13.0,55.0,4.0,16.0,2.0,8.0,27.0,7.0,38.0,,8.0,40.0,,,,16.0,62.0,23.7,,99043.0,4459.0,87312.0,64482.0,N,N,,,
2362.19,2264.1,2208.87, 60 months,,49.73,C,A5,Press sub,8 years,,91016.07,Source Verified,Jul-2025,Fully Paid,educational,"Engineer, electronics",,NY,12.1,Nov-2007,3,2,21859,31.1,32,Individual,8.0,,Knowledge of perform car. Street protect process thus worry building education. Just consider movement break child Congress.,https://www.lendingclub.com/browse/loanDetail.action?loan_id=fef64a6e-78df-4fa5-bbc3-d2baab900cc2,819b7ba2-ec69-4e6a-b1f6-c4052e8e152a,1,,943.89,155.74,29.26,2180.29,2132.77,228.26,32.08,514.62,67.46,Jul-2025,74.85,,Sep-2024,,,0,,22022.0,,,0.0,7.0,58.0,42616.0,,8.0,12.0,6367.0,34.8,39613.0,3.0,19.0,15.0,,40299.0,,77.1,,,238.0,95.0,55.0,22.0,111.0,117.0,,86.0,,8.0,12.0,25.0,38.0,16.0,,30.0,26.0,7.0,,,,19.0,95.7,25.3,,110443.0,84047.0,,,,N,,,
17049.77,16693.49,15941.81, 60 months,14.43%,400.56,,B5,,3 years,OTHER,32709.16,Verified,Apr-2024,Fully Paid,MAJOR_PURCHASE,Mental health nurse,44311,MH,23.84,,22,2,43158,,41,Joint App,8.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4371ea41-a69b-4e70-8f4d-13e4c1c82ff9,e2c0026c-1477-4faf-b0dd-49d936817776,1,w,5548.28,5243.36,3594.2,10499.73,12197.09,4978.16,20.14,9.54,7.53,Sep-2024,657.36,Aug-2025,Apr-2025,,10.0,1,,,0.0,,4.0,,17.0,15032.0,41.4,,2.0,16012.0,89.3,85936.0,,5.0,,15.0,,21395.0,89.0,,,57.0,193.0,42.0,41.0,102.0,84.0,13.0,,,5.0,12.0,8.0,1.0,,19.0,26.0,29.0,16.0,,,,6.0,58.5,,,116680.0,51012.0,87096.0,8720.0,,N,Husband woman red position thousand.,,2022-11-11
4457.94,4397.44,4317.48, 60 months,10.30%,95.37,B,A3,,2 years,MORTGAGE,28614.49,Verified,Jun-2025,Fully Paid,other,,27814,,14.24,Dec-2016,5,1,2176,8.4,46,Individual,1.0,,"Change raise fight. And test office college.
Seem shoulder question unit without. Paper produce reach conference new.
Require it we receive focus.",https://www.lendingclub.com/browse/loanDetail.action?loan_id=f342e056-055c-422b-9e97-218df32c3789,9fb0c0b4-6141-4e03-a684-50f0e74fee19,1,w,1493.02,1248.66,3193.63,2734.37,603.88,82.96,54.39,649.42,72.53,May-2025,141.2,Oct-2025,Jan-2025,,102.0,1,,,3.0,3.0,6.0,5.0,56.0,,,5.0,5.0,9233.0,89.7,,,11.0,15.0,9.0,30419.0,709.0,29.4,,,130.0,212.0,4.0,,,,15.0,5.0,,,5.0,12.0,1.0,25.0,,10.0,20.0,35.0,,,,,77.4,70.3,,91964.0,75884.0,40947.0,97686.0,N,N,,,
