loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,desc,url,member_id,policy_code,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,random_field_1,random_field_2,random_field_3
12711.7,12473.06,11646.8, 60 months,15.78%,307.66,C,A3,"Scientist, water quality",2 years,RENT,30565.75,Source Verified,Feb-2025,Fully Paid,educational,"Horticulturist, amenity",25181,NV,21.29,Apr-2012,23,0,28552,6.9,23,Individual,3.0,,Anyone hit will condition. Statement around pattern structure. Central central rather on defense many.,https://www.lendingclub.com/browse/loanDetail.action?loan_id=759bc7d2-244b-443c-aab8-c6c83720f86d,38c5cdb7-f858-40fc-b4e9-2c5823668e15,1,f,47.92,4414.26,11081.21,8255.93,10373.87,771.44,40.9,807.59,60.37,,42.62,Mar-2026,Aug-2024,,,2,,71347.0,2.0,2.0,,,22.0,35631.0,98.2,,12.0,,70.5,34411.0,,18.0,7.0,12.0,37197.0,,36.6,,,123.0,198.0,,4.0,107.0,,6.0,,,15.0,2.0,7.0,19.0,21.0,4.0,46.0,12.0,30.0,1.0,,,4.0,,,,,77797.0,11633.0,97101.0,N,N,,,2021-10-17
4810.26,4615.02,4612.61, 36 months,13.84%,164.03,G,A3,Licensed conveyancer,,OTHER,40104.19,Source Verified,Aug-2024,Fully Paid,renewable_energy,Secondary school teacher,02605,PA,9.99,Feb-2009,10,2,25820,20.6,40,Joint App,2.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=baa6c306-fe42-4fa6-b0e1-1d72ad06ca95,33b70a8d-c5f3-4749-ac46-e5dde2538d23,1,w,1826.07,1490.57,446.84,2960.25,1651.37,474.15,60.23,322.32,77.69,Aug-2024,216.65,,Oct-2024,,,0,6906.0,,0.0,2.0,9.0,7.0,35.0,,20.8,,14.0,15096.0,83.3,50755.0,2.0,10.0,6.0,,48070.0,28930.0,87.9,,,132.0,117.0,,1.0,54.0,,16.0,,,10.0,4.0,3.0,17.0,8.0,1.0,43.0,6.0,25.0,,,,,,69.2,,,80818.0,17138.0,46202.0,N,N,,,
21697.39,21252.96,21204.69, 36 months,11.52%,715.74,C,A5,Homeopath,1 year,OWN,88054.92,Verified,Jul-2025,Fully Paid,medical,,52797,OH,3.15,Sep-2018,22,2,49025,18.1,30,Joint App,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=33b311f6-1a1f-4a6c-99bb-bd45c799f157,9b67f939-78c7-417a-aaf3-2fd3668f4170,1,w,6455.55,8789.17,3533.53,10400.06,853.21,2408.27,61.45,568.87,6.03,Jun-2025,436.7,,Oct-2024,,2.0,1,,66274.0,4.0,,0.0,,,2164.0,76.6,2.0,10.0,11830.0,96.7,95019.0,,17.0,,,22925.0,5572.0,34.5,,,81.0,283.0,5.0,45.0,6.0,,23.0,19.0,,7.0,10.0,23.0,,,,,27.0,37.0,,,,0.0,93.8,51.1,,138554.0,94543.0,77628.0,19222.0,N,N,,,
19808.05,19249.27,18204.93, 60 months,13.40%,454.79,D,B2,"Copywriter, advertising",5 years,RENT,20000.0,Not Verified,Apr-2025,Current,credit_card,"Engineer, electrical",48318,DC,11.27,Mar-2017,7,0,14432,,14,Individual,,,"Involve hour method wide. Court news some film today letter truth.
Value clearly mean. Although finally up third treatment. Star force again everyone enjoy.",https://www.lendingclub.com/browse/loanDetail.action?loan_id=8c8dcb31-d801-4d9f-a84f-b7f144b498fc,1133eb0a-e465-4f3a-9ee8-db6aac2caff8,1,f,804.03,6316.25,11339.97,22214.31,5730.56,4315.18,73.09,221.5,90.32,Dec-2024,617.5,Jun-2026,Apr-2025,,,1,3511.0,7651.0,4.0,3.0,,2.0,33.0,34494.0,13.9,1.0,0.0,7116.0,,,8.0,,0.0,19.0,,11394.0,90.9,,,295.0,151.0,58.0,,27.0,,,60.0,,10.0,23.0,11.0,13.0,,31.0,9.0,16.0,14.0,,,,16.0,,,,199005.0,5814.0,22169.0,,N,N,,,
1000.0,957.72,881.61, 36 months,11.65%,33.05,D,B1,Police officer,,OWN,74832.39,Source Verified,Nov-2023,Fully Paid,credit_card,,31507,ME,0.0,Nov-2017,15,2,5400,77.9,28,Individual,0.0,,"Job parent social sure between continue least yard. Reason friend green data executive no fall easy. Animal nor deal state.
According how reduce product. Central near owner station agent stuff fire.",https://www.lendingclub.com/browse/loanDetail.action?loan_id=9a7bb5bd-d675-427f-ba6a-21aeb7a86975,ff4bf558-0268-415a-8732-6c055a1297b7,1,f,182.73,468.07,65.89,808.07,891.28,241.17,18.4,295.93,71.7,Oct-2024,53.66,,Mar-2025,,,0,1384.0,38051.0,2.0,1.0,,9.0,,13117.0,32.8,,2.0,19129.0,,95504.0,1.0,12.0,,2.0,37486.0,24111.0,,,,151.0,,26.0,45.0,32.0,116.0,20.0,53.0,1.0,1.0,29.0,14.0,27.0,10.0,22.0,18.0,16.0,9.0,,,,6.0,65.2,56.8,,114579.0,20641.0,,,N,N,,,
9741.97,9566.72,9133.59, 36 months,17.98%,352.11,A,B1,,5 years,OWN,73602.11,Source Verified,Aug-2023,Fully Paid,home_improvement,,34560,MS,19.43,Nov-2016,13,0,14557,50.7,29,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8745b75f-1a17-40a0-90b1-b02dd3b93b1e,80eea7cb-60d3-4d65-89ea-115d51e709ef,1,w,2867.12,21.13,3329.2,7523.68,7912.91,912.93,64.74,265.26,69.04,Nov-2024,91.71,Sep-2025,Oct-2024,,,1,3827.0,77817.0,0.0,2.0,8.0,13.0,20.0,,93.8,,11.0,19613.0,16.9,26025.0,0.0,,19.0,1.0,44695.0,13608.0,67.4,,,212.0,262.0,,3.0,,,6.0,,,,26.0,18.0,12.0,4.0,39.0,30.0,6.0,,,3.0,,1.0,59.3,59.2,,43024.0,43831.0,51839.0,80687.0,N,N,,,
18894.62,18530.39,18511.32, 36 months,14.56%,650.89,G,A5,,6 years,OWN,24827.97,Verified,Aug-2024,Fully Paid,home_improvement,"Designer, jewellery",95725,MA,0.0,Aug-2015,7,0,29695,29.7,49,Individual,,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6899a207-2d61-455e-b968-d1bc5e245b58,cf053702-d049-42ce-87cc-a32e9a51cdb6,1,f,6100.05,7678.95,6845.94,6387.83,14732.95,2159.8,81.85,993.38,97.97,Mar-2025,488.44,Oct-2025,Sep-2024,,15.0,1,,77468.0,,3.0,4.0,,54.0,36188.0,,2.0,,6042.0,4.4,,,7.0,13.0,7.0,4516.0,,19.7,,,254.0,86.0,39.0,,40.0,,8.0,,,5.0,24.0,26.0,30.0,2.0,,,26.0,3.0,,,,3.0,80.8,89.2,,,41520.0,909.0,,N,N,,,
22464.27,22423.37,20272.32, 60 months,11.63%,495.49,A,A5,Leisure centre manager,7 years,MORTGAGE,109535.93,Verified,Jul-2025,Fully Paid,renewable_energy,,16869,MP,40.0,Nov-2009,15,1,35974,42.2,6,Individual,,1.0,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=e7a5b03f-af42-4743-a5c5-dc0563dd6998,f98add68-d207-4139-a6de-69af59143b02,1,w,8752.31,7597.31,3128.38,21845.43,2035.53,4979.83,71.58,689.4,27.67,Jun-2025,754.71,Feb-2026,,,,0,,83693.0,1.0,3.0,,12.0,46.0,,36.0,5.0,,12425.0,11.9,21494.0,3.0,18.0,9.0,11.0,3996.0,23232.0,99.0,,,5.0,105.0,52.0,33.0,58.0,,12.0,39.0,0.0,14.0,,,,29.0,3.0,13.0,14.0,12.0,,,,4.0,53.2,,,,91402.0,31989.0,,N,N,,68.0,
12321.8,12033.36,11892.95, 36 months,19.77%,456.46,B,B1,Museum/gallery conservator,10+ years,RENT,56667.11,Verified,Jun-2025,Current,car,Personnel officer,53880,DE,7.84,Jul-2015,3,0,27254,72.0,18,Individual,5.0,,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=a3abd4ff-af3a-4489-a91e-397eb8a85b3a,9ed82a73-9e20-4d79-a6d4-b3488f4f3113,1,f,589.51,2448.61,13956.45,13431.95,5741.65,525.49,17.81,377.55,21.01,Feb-2025,615.1,Sep-2025,Oct-2024,,,2,3990.0,44974.0,1.0,3.0,5.0,,28.0,36400.0,43.0,0.0,,15594.0,30.3,51536.0,5.0,0.0,12.0,9.0,48056.0,14141.0,33.4,,,,155.0,,36.0,24.0,97.0,14.0,,3.0,12.0,20.0,14.0,15.0,12.0,25.0,26.0,18.0,18.0,,,,13.0,93.6,65.3,,,72934.0,17013.0,98417.0,Y,N,,,2021-06-06
1000.0,956.33,943.98, 36 months,10.20%,32.36,C,A3,Public relations account executive,10+ years,MORTGAGE,33949.72,Not Verified,Dec-2023,Fully Paid,home_improvement,Chartered loss adjuster,64839,MA,21.53,Apr-2015,12,0,28425,61.7,14,Joint App,1.0,0.0,"Who surface according worry spring Mr challenge. Support voice must often understand before yeah.
Free why but change surface nature. Whose board matter action. Drug attorney want property own hope.",https://www.lendingclub.com/browse/loanDetail.action?loan_id=135ea68d-74d4-456f-a771-b7c2974c5a7c,6a28b503-6a81-466a-86c8-20b0ef7c990e,1,w,223.45,455.26,589.97,614.15,416.72,236.78,42.48,269.34,86.2,Nov-2024,38.29,Aug-2025,Apr-2025,,29.0,2,,9373.0,2.0,,4.0,4.0,,32463.0,91.8,,5.0,,,,8.0,6.0,8.0,19.0,1527.0,42873.0,41.7,,,226.0,155.0,32.0,40.0,39.0,,2.0,,,12.0,20.0,19.0,,27.0,6.0,29.0,8.0,11.0,,,,14.0,65.4,22.5,,84607.0,21440.0,32947.0,,N,N,,,
